season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000054,20201229,MIN,LAC,MIN @ LAC,data.nba.com mobile_teams v2015 play-by-play,194,ok,194,116,0,116,194,glm_poisson_log_raw_controls,0.08327273260592803,0.22395357291642756,0.37183033751822653,-0.989317610686244,0.37183033751822653,0.04100154000676067,5.462849112945723
2020-21,0022000055,20201229,DEN,SAC,DEN @ SAC,data.nba.com mobile_teams v2015 play-by-play,202,ok,202,0,1,1,202,glm_poisson_log_raw_controls,0.18223035545269636,0.23725387849955243,0.768081671014875,-0.2638592090211391,0.768081671014875,0.43800364613407883,50.57087651501845
2020-21,0022000056,20201230,MEM,BOS,MEM @ BOS,data.nba.com mobile_teams v2015 play-by-play,206,ok,206,136,0,136,206,glm_poisson_log_raw_controls,0.2567383514503073,0.2207672660728437,1.16293667995868,0.15094842661896404,1.16293667995868,0.622265295969884,87.24749692604954
2020-21,0022000057,20201230,ATL,BKN,ATL @ BKN,data.nba.com mobile_teams v2015 play-by-play,214,ok,214,0,2,2,214,glm_poisson_log_raw_controls,0.2551943998146969,0.2581432954964042,0.9885765164807528,-0.011489232709894244,0.9885765164807528,0.9676251459846688,75.7070086070613
2020-21,0022000058,20201230,MIL,MIA,MIL @ MIA,data.nba.com mobile_teams v2015 play-by-play,211,ok,211,1,0,1,211,glm_poisson_log_raw_controls,0.1618022106421428,0.21675932477799686,0.7464602079188947,-0.29241296828781993,0.7464602079188947,0.4124630551971573,47.7779729492359
2020-21,0022000059,20201230,CHA,DAL,CHA @ DAL,data.nba.com mobile_teams v2015 play-by-play,203,ok,203,99,0,99,203,glm_poisson_log_raw_controls,0.21620096670210048,0.22513566667407234,0.9603141514449305,-0.040494806963472615,0.9603141514449305,0.8976098291399829,72.91410504127876
2020-21,0022000060,20201230,LAL,SAS,LAL @ SAS,data.nba.com mobile_teams v2015 play-by-play,202,ok,202,17,1,17,202,glm_poisson_log_raw_controls,0.15569708636348856,0.24362391570268577,0.6390878576695175,-0.44771334161526216,0.6390878576695175,0.20796785667890627,32.443351484278935
2020-21,0022000061,20201230,POR,LAC,POR @ LAC,data.nba.com mobile_teams v2015 play-by-play,204,ok,204,125,0,125,204,glm_poisson_log_raw_controls,0.1841209274553033,0.26931783591716824,0.6836566424510101,-0.3802994721168426,0.6836566424510101,0.2355530300609231,38.977691902336204
2020-21,0022000062,20201231,CLE,IND,CLE @ IND,data.nba.com mobile_teams v2015 play-by-play,196,ok,196,50,1,50,196,glm_poisson_log_raw_controls,0.1872197376359589,0.288727517835823,0.6484305307622817,-0.43320040392087217,0.6484305307622817,0.17796922522084158,33.84858598278588
2020-21,0022000063,20201231,CHI,WAS,CHI @ WAS,data.nba.com mobile_teams v2015 play-by-play,205,ok,205,0,2,2,205,glm_poisson_log_raw_controls,0.254929327706472,0.3454040160957392,0.7380612726744051,-0.3037284325240024,0.7380612726744051,0.25415355814505947,46.671350781661694
