season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_z_score
2025-26,2026-03-24,0022500025,2025-10-31T22:00:00-04:00,3,Final,UTA,PHX,UTA @ PHX,202,202,113,0,113,89,0.2738159048438378,0.20072498659991214,1.364134627591788,0.310520255131178,1.3641346275917876,0.5190358654395901,ok,1.2942079625530267
2025-26,2026-03-24,0022500026,2025-10-31T22:00:00-04:00,3,Final,DEN,POR,DEN @ POR,196,196,0,1,1,195,0.19814926295727275,0.31509077169654903,0.628864063172571,-0.4638401614209536,0.6288640631725709,0.13673986279998626,ok,-0.2953684084567759
2025-26,2026-03-24,0022500027,2025-10-31T22:30:00-04:00,3,Final,NOP,LAC,NOP @ LAC,197,197,6,0,6,191,0.24301835695725998,0.248190413119055,0.9791609349579752,-0.021059262874905265,0.9791609349579752,0.9452873228736017,ok,0.4619359869239345
2025-26,2026-03-24,0022500028,2025-11-07T19:00:00-05:00,3,Final,BOS,ORL,BOS @ ORL,198,198,4,0,4,194,0.20860589286608303,0.32493790284376095,0.6419869490152599,-0.4431873041354723,0.6419869490152599,0.14012115449027254,ok,-0.26699813190222055
2025-26,2026-03-24,0022500029,2025-11-07T19:00:00-05:00,3,Final,CLE,WAS,CLE @ WAS,207,207,114,0,114,93,0.17352545586585008,0.29098158760908027,0.5963451409130848,-0.5169356840361233,0.5963451409130847,0.28300262985030933,ok,-0.3656708426025173
2025-26,2026-03-24,0022500030,2025-11-07T19:30:00-05:00,3,Final,TOR,ATL,TOR @ ATL,200,200,0,1,1,199,0.1643332135174771,0.24607542561904366,0.667816435160356,-0.40374194087342535,0.6678164351603562,0.24619934343031558,ok,-0.21115754363659178
2025-26,2026-03-24,0022500031,2025-11-07T19:30:00-05:00,3,Final,DET,BKN,DET @ BKN,199,199,63,1,63,136,0.07929100202675562,0.2805281419891455,0.2826490114842868,-1.2635493931806383,0.2826490114842868,0.02021687490684969,ok,-1.043848345072134
2025-26,2026-03-24,0022500032,2025-11-07T19:30:00-05:00,3,Final,HOU,SAS,HOU @ SAS,200,200,0,1,1,199,0.1673408777906364,0.2720207840733793,0.6151768084952477,-0.4858455590057457,0.6151768084952476,0.15072059146859673,ok,-0.32495879010934786
2025-26,2026-03-24,0022500033,2025-11-07T20:00:00-05:00,3,Final,CHA,MIA,CHA @ MIA,211,211,42,1,42,169,0.1551508394791283,0.2213947820291854,0.7007881489215746,-0.3555496502883688,0.7007881489215745,0.3814427652378838,ok,-0.13987622266064503
2025-26,2026-03-24,0022500034,2025-11-07T20:00:00-05:00,3,Final,DAL,MEM,DAL @ MEM,198,198,117,0,117,81,0.19687917097598942,0.2375087462091572,0.8289344039676408,-0.18761425367518303,0.828934403967641,0.7115649210980086,ok,0.13716228385909013
2025-26,2026-03-24,0022500035,2025-11-07T20:00:00-05:00,3,Final,CHI,MIL,CHI @ MIL,211,211,5,0,5,206,0.16756359645636185,0.22087121400042914,0.7586484151621328,-0.2762168300368176,0.7586484151621331,0.43653328877154574,ok,-0.01478851143290633
2025-26,2026-03-24,0022500036,2025-11-07T20:00:00-05:00,3,Final,UTA,MIN,UTA @ MIN,210,210,189,0,189,21,3.2897905662708077e-10,0.11739298801373127,2.802373993484182e-09,-19.692798924175335,2.8023739934841806e-09,0.9990645896543612,ok,-1.654905290953008
2025-26,2026-03-24,0022500037,2025-11-07T22:00:00-05:00,3,Final,GSW,DEN,GSW @ DEN,190,190,98,0,98,92,0.17233983506813821,0.11629589897413725,1.481908103281135,0.39333051636905364,1.4819081032811352,0.5478367632082897,ok,1.548821628796226
2025-26,2026-03-24,0022500038,2025-11-07T22:00:00-05:00,3,Final,OKC,SAC,OKC @ SAC,209,209,64,1,64,145,0.1000008518733199,0.1904755723441035,0.5250061760815368,-0.6443452524948763,0.5250061760815368,0.24034130171913193,ok,-0.5198980595156553
2025-26,2026-03-24,0022500039,2025-11-14T19:00:00-05:00,3,Final,MIA,NYK,MIA @ NYK,203,203,1,0,1,202,0.19744504669672666,0.3058741203064427,0.6455107954177837,-0.43771334471788326,0.6455107954177837,0.14870082887674665,ok,-0.25937995262566504
2025-26,2026-03-24,0022500040,2025-11-14T19:00:00-05:00,3,Final,BKN,ORL,BKN @ ORL,185,185,5,1,6,179,0.20361566655049618,0.19989099509042488,1.018633513022367,0.0184620359897415,1.0186335130223667,0.9591648950760558,ok,0.5472714816796077
2025-26,2026-03-24,0022500041,2025-11-14T19:30:00-05:00,3,Final,PHI,DET,PHI @ DET,198,198,0,0,0,198,0.17424677629391164,0.20019108315036133,0.8704022854156636,-0.13879977717657163,0.8704022854156639,0.7084773382248574,ok,0.22681141126252338
2025-26,2026-03-24,0022500042,2025-11-14T20:00:00-05:00,3,Final,POR,HOU,POR @ HOU,201,201,82,0,82,119,0.20630149929457414,0.28357831373602654,0.7274939207326454,-0.3181496363526479,0.7274939207326452,0.4426239022104468,ok,-0.08214119844681791
2025-26,2026-03-24,0022500043,2025-11-14T20:00:00-05:00,3,Final,CHA,MIL,CHA @ MIL,219,219,0,1,1,218,0.12154592449729384,0.2431333686656918,0.4999146154406284,-0.6933179642613947,0.4999146154406284,0.06543824949161112,ok,-0.5741433317142673
2025-26,2026-03-24,0022500044,2025-11-14T20:00:00-05:00,3,Final,SAC,MIN,SAC @ MIN,208,208,14,1,15,193,0.15074688799362748,0.3174704892446946,0.4748374828547837,-0.7447826748495542,0.4748374828547838,0.031453609351686784,ok,-0.6283574119999717
