season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,as_of_utc_date,game_status,game_status_text,wmi_percentile
2020-21,22000063,20201231,CHI,WAS,CHI @ WAS,data.nba.com mobile_teams v2015 play-by-play,205,84,121,0.2619047619047619,0.3388429752066115,0.7729384436701511,,,,34.90411773450275
2020-21,22000064,20201231,PHI,ORL,PHI @ ORL,data.nba.com mobile_teams v2015 play-by-play,204,57,147,0.2456140350877192,0.1904761904761904,1.2894736842105263,,,,82.2357663148506
2020-21,22000065,20201231,SAC,HOU,SAC @ HOU,data.nba.com mobile_teams v2015 play-by-play,211,60,151,0.1833333333333333,0.2052980132450331,0.893010752688172,,,,48.1789802289282
2020-21,22000066,20201231,NYK,TOR,NYK @ TOR,data.nba.com mobile_teams v2015 play-by-play,201,66,135,0.2575757575757575,0.237037037037037,1.0866477272727273,,,,67.59328080868143
2020-21,22000067,20201231,NOP,OKC,NOP @ OKC,data.nba.com mobile_teams v2015 play-by-play,193,57,136,0.2105263157894736,0.2058823529411764,1.0225563909774436,,,,62.01129775531441
2020-21,22000068,20201231,PHX,UTA,PHX @ UTA,data.nba.com mobile_teams v2015 play-by-play,193,55,138,0.1272727272727272,0.2028985507246377,0.6272727272727272,,,,18.314255983350677
2020-21,22000069,20210101,MEM,CHA,MEM @ CHA,data.nba.com mobile_teams v2015 play-by-play,200,50,150,0.18,0.16,1.125,,,,70.8934145978891
2020-21,22000070,20210101,BOS,DET,BOS @ DET,data.nba.com mobile_teams v2015 play-by-play,205,51,154,0.2352941176470588,0.1623376623376623,1.4494117647058824,,,,89.56444180169466
2020-21,22000071,20210101,MIA,DAL,MIA @ DAL,data.nba.com mobile_teams v2015 play-by-play,195,77,118,0.3116883116883117,0.3220338983050847,0.9678742310321258,,,,56.525940240820574
2020-21,22000072,20210101,ATL,BKN,ATL @ BKN,data.nba.com mobile_teams v2015 play-by-play,198,60,138,0.1166666666666666,0.2246376811594203,0.5193548387096775,,,,10.04162330905307
2020-21,22000073,20210101,CHI,MIL,CHI @ MIL,data.nba.com mobile_teams v2015 play-by-play,218,64,154,0.15625,0.2077922077922078,0.751953125,,,,32.45131559387543
