season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_game,wmi_game_percentile
2025-26,2026-03-23,22500094,2025-10-24T20:00:00-04:00,3,Final,MIA,MEM,MIA @ MEM,226,65,161,0.1076923076923077,0.2049689440993788,0.5254079254079255,10.154738878143132
2025-26,2026-03-23,22500095,2025-10-24T20:00:00-04:00,3,Final,SAS,NOP,SAS @ NOP,209,79,130,0.2151898734177215,0.3153846153846154,0.682309354739117,24.758220502901356
2025-26,2026-03-23,22500096,2025-10-24T20:30:00-04:00,3,Final,WAS,DAL,WAS @ DAL,216,68,148,0.2647058823529412,0.2162162162162162,1.2242647058823528,80.85106382978722
2025-26,2026-03-23,22500097,2025-10-24T22:00:00-04:00,3,Final,GSW,POR,GSW @ POR,220,78,142,0.1666666666666666,0.2676056338028169,0.6228070175438597,17.79497098646035
2025-26,2026-03-23,22500098,2025-10-24T22:00:00-04:00,3,Final,UTA,SAC,UTA @ SAC,195,46,149,0.1521739130434782,0.1677852348993288,0.9069565217391304,53.67504835589942
2025-26,2026-03-23,22500099,2025-10-24T22:30:00-04:00,3,Final,PHX,LAC,PHX @ LAC,191,64,127,0.234375,0.2519685039370078,0.93017578125,56.38297872340425
2025-26,2026-03-23,22500100,2025-10-25T19:00:00-04:00,3,Final,CHI,ORL,CHI @ ORL,213,84,129,0.2261904761904762,0.3255813953488372,0.6947278911564625,26.4990328820116
2025-26,2026-03-23,22500101,2025-10-25T19:30:00-04:00,3,Final,OKC,ATL,OKC @ ATL,189,65,124,0.1692307692307692,0.2580645161290322,0.6557692307692308,21.37330754352031
2025-26,2026-03-23,22500102,2025-10-25T19:30:00-04:00,3,Final,CHA,PHI,CHA @ PHI,205,70,135,0.2714285714285714,0.2592592592592592,1.046938775510204,67.69825918762089
2025-26,2026-03-23,22500103,2025-10-25T20:00:00-04:00,3,Final,IND,MEM,IND @ MEM,201,70,131,0.2857142857142857,0.2519083969465648,1.1341991341991342,74.6615087040619
2025-26,2026-03-23,22500104,2025-10-25T21:00:00-04:00,3,Final,PHX,DEN,PHX @ DEN,211,83,128,0.2650602409638554,0.3359375,0.7890165312412442,39.0715667311412
2025-26,2026-03-23,22500105,2025-10-26T14:00:00-04:00,3,Final,BKN,SAS,BKN @ SAS,188,91,97,0.2747252747252747,0.4432989690721649,0.6197291081012012,17.408123791102515
2025-26,2026-03-23,22500106,2025-10-26T15:30:00-04:00,3,Final,BOS,DET,BOS @ DET,198,81,117,0.2839506172839506,0.3418803418803419,0.8305555555555555,43.61702127659575
2025-26,2026-03-23,22500107,2025-10-26T18:00:00-04:00,3,Final,MIL,CLE,MIL @ CLE,207,77,130,0.1818181818181818,0.3,0.6060606060606061,15.95744680851064
2025-26,2026-03-23,22500108,2025-10-26T18:00:00-04:00,3,Final,NYK,MIA,NYK @ MIA,207,67,140,0.1343283582089552,0.2357142857142857,0.5698778833107191,13.539651837524175
2025-26,2026-03-23,22500109,2025-10-26T18:00:00-04:00,3,Final,CHA,WAS,CHA @ WAS,217,76,141,0.2631578947368421,0.2482269503546099,1.0601503759398496,68.8588007736944
2025-26,2026-03-23,22500110,2025-10-26T19:00:00-04:00,3,Final,IND,MIN,IND @ MIN,203,82,121,0.2317073170731707,0.3388429752066115,0.6838191552647235,25.145067698259187
2025-26,2026-03-23,22500111,2025-10-26T19:30:00-04:00,3,Final,TOR,DAL,TOR @ DAL,219,78,141,0.2692307692307692,0.2978723404255319,0.903846153846154,53.28820116054158
2025-26,2026-03-23,22500112,2025-10-26T21:00:00-04:00,3,Final,POR,LAC,POR @ LAC,202,72,130,0.1944444444444444,0.2846153846153846,0.6831831831831833,25.04835589941973
2025-26,2026-03-23,22500113,2025-10-26T21:00:00-04:00,3,Final,LAL,SAC,LAL @ SAC,214,64,150,0.28125,0.2066666666666666,1.3608870967741935,88.49129593810446
2025-26,2026-03-23,22500114,2025-10-27T19:00:00-04:00,3,Final,ORL,PHI,ORL @ PHI,196,81,115,0.3580246913580246,0.3043478260869565,1.1763668430335097,78.04642166344294
2025-26,2026-03-23,22500115,2025-10-27T20:00:00-04:00,3,Final,ATL,CHI,ATL @ CHI,210,62,148,0.1451612903225806,0.2094594594594594,0.6930280957336109,26.30560928433269
2025-26,2026-03-23,22500116,2025-10-27T20:00:00-04:00,3,Final,BKN,HOU,BKN @ HOU,184,67,117,0.3134328358208955,0.2478632478632478,1.2645393721049922,83.17214700193423
2025-26,2026-03-23,22500117,2025-10-27T20:00:00-04:00,3,Final,BOS,NOP,BOS @ NOP,187,63,124,0.365079365079365,0.2258064516129032,1.6167800453514738,95.74468085106383
2025-26,2026-03-23,22500118,2025-10-27T20:00:00-04:00,3,Final,TOR,SAS,TOR @ SAS,197,64,133,0.265625,0.2406015037593984,1.10400390625,72.5338491295938
2025-26,2026-03-23,22500119,2025-10-27T20:30:00-04:00,3,Final,OKC,DAL,OKC @ DAL,194,60,134,0.1166666666666666,0.2313432835820895,0.5043010752688172,8.123791102514506
2025-26,2026-03-23,22500120,2025-10-27T21:00:00-04:00,3,Final,PHX,UTA,PHX @ UTA,226,94,132,0.3297872340425531,0.3257575757575757,1.012370113805047,64.60348162475822
2025-26,2026-03-23,22500121,2025-10-27T22:00:00-04:00,3,Final,MEM,GSW,MEM @ GSW,208,73,135,0.2465753424657534,0.2666666666666666,0.9246575342465752,55.41586073500967
2025-26,2026-03-23,22500122,2025-10-27T22:30:00-04:00,3,Final,POR,LAL,POR @ LAL,212,58,154,0.0344827586206896,0.1883116883116883,0.1831153388822829,0.3868471953578337
2025-26,2026-03-23,22500123,2025-10-28T19:00:00-04:00,3,Final,PHI,WAS,PHI @ WAS,220,74,146,0.2837837837837837,0.2534246575342466,1.1197954711468223,74.1779497098646
2025-26,2026-03-23,22500124,2025-10-28T19:30:00-04:00,3,Final,CHA,MIA,CHA @ MIA,214,57,157,0.2280701754385964,0.1783439490445859,1.2788220551378446,84.23597678916828
2025-26,2026-03-23,22500125,2025-10-28T20:00:00-04:00,3,Final,NYK,MIL,NYK @ MIL,192,63,129,0.2857142857142857,0.2480620155038759,1.1517857142857142,76.4990328820116
2025-26,2026-03-23,22500126,2025-10-28T20:00:00-04:00,3,Final,SAC,OKC,SAC @ OKC,203,49,154,0.2448979591836734,0.1558441558441558,1.5714285714285714,94.97098646034816
2025-26,2026-03-23,22500127,2025-10-28T23:00:00-04:00,3,Final,LAC,GSW,LAC @ GSW,177,38,139,0.1052631578947368,0.1438848920863309,0.731578947368421,30.754352030947775
2025-26,2026-03-23,22500128,2025-10-29T19:00:00-04:00,3,Final,CLE,BOS,CLE @ BOS,189,68,121,0.1176470588235294,0.2892561983471074,0.4067226890756302,3.2882011605415857
2025-26,2026-03-23,22500129,2025-10-29T19:00:00-04:00,3,Final,ORL,DET,ORL @ DET,199,87,112,0.2528735632183908,0.375,0.6743295019157088,23.597678916827853
