season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900045,2019-10-28,OKC,HOU,OKC @ HOU,112,116,,207,69,138,0.34782608695652173,0.2318840579710145,1.5,data.nba.com mobile_teams v2015 play-by-play,91.61658653846155
2019-20,2019,Regular Season,0021900046,2019-10-28,CLE,MIL,CLE @ MIL,112,129,,209,61,148,0.13114754098360656,0.20945945945945946,0.6261237440507669,data.nba.com mobile_teams v2015 play-by-play,17.884615384615383
2019-20,2019,Regular Season,0021900047,2019-10-28,GSW,NOP,GSW @ NOP,134,123,,217,63,154,0.15873015873015872,0.2012987012987013,0.7885304659498207,data.nba.com mobile_teams v2015 play-by-play,36.43028846153846
2019-20,2019,Regular Season,0021900048,2019-10-28,POR,SAS,POR @ SAS,110,113,,219,70,149,0.2714285714285714,0.21476510067114093,1.2638392857142857,data.nba.com mobile_teams v2015 play-by-play,81.45432692307692
2019-20,2019,Regular Season,0021900049,2019-10-28,UTA,PHX,UTA @ PHX,96,95,,204,82,122,0.21951219512195122,0.32786885245901637,0.6695121951219513,data.nba.com mobile_teams v2015 play-by-play,22.403846153846153
2019-20,2019,Regular Season,0021900050,2019-10-28,DEN,SAC,DEN @ SAC,101,94,,183,54,129,0.16666666666666666,0.21705426356589147,0.7678571428571428,data.nba.com mobile_teams v2015 play-by-play,34.074519230769226
2019-20,2019,Regular Season,0021900051,2019-10-28,CHA,LAC,CHA @ LAC,96,111,,201,60,141,0.15,0.2127659574468085,0.705,data.nba.com mobile_teams v2015 play-by-play,26.310096153846153
2019-20,2019,Regular Season,0021900052,2019-10-29,ATL,MIA,ATL @ MIA,97,112,,208,74,134,0.25675675675675674,0.26865671641791045,0.9557057057057057,data.nba.com mobile_teams v2015 play-by-play,55.33653846153847
2019-20,2019,Regular Season,0021900053,2019-10-29,DAL,DEN,DAL @ DEN,109,106,,185,59,126,0.0847457627118644,0.25396825396825395,0.3336864406779661,data.nba.com mobile_teams v2015 play-by-play,1.6706730769230769
2019-20,2019,Regular Season,0021900054,2019-10-29,MEM,LAL,MEM @ LAL,91,120,,218,72,146,0.20833333333333334,0.22602739726027396,0.9217171717171718,data.nba.com mobile_teams v2015 play-by-play,51.5625
2019-20,2019,Regular Season,0021900055,2019-10-30,CHI,CLE,CHI @ CLE,111,117,,195,70,125,0.2571428571428571,0.28,0.9183673469387753,data.nba.com mobile_teams v2015 play-by-play,51.105769230769226
2019-20,2019,Regular Season,0021900056,2019-10-30,NYK,ORL,NYK @ ORL,83,95,,176,55,121,0.12727272727272726,0.2396694214876033,0.5310344827586206,data.nba.com mobile_teams v2015 play-by-play,10.32451923076923
2019-20,2019,Regular Season,0021900057,2019-10-30,MIN,PHI,MIN @ PHI,95,117,,220,73,147,0.1780821917808219,0.25170068027210885,0.7075157349129951,data.nba.com mobile_teams v2015 play-by-play,26.658653846153847
2019-20,2019,Regular Season,0021900058,2019-10-30,MIL,BOS,MIL @ BOS,105,116,,202,63,139,0.1746031746031746,0.22302158273381295,0.7828981054787506,data.nba.com mobile_teams v2015 play-by-play,35.76923076923077
2019-20,2019,Regular Season,0021900059,2019-10-30,IND,BKN,IND @ BKN,118,108,,202,73,129,0.2465753424657534,0.2713178294573643,0.9088062622309198,data.nba.com mobile_teams v2015 play-by-play,50.02403846153847
