season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500067,2025-11-26T22:00:00-05:00,3,Final,SAS,POR,SAS @ POR,203,72,131,0.2222222222222222,0.2748091603053435,0.8086419753086419,-0.35061584948339797
2025-26,2026-03-23,0022500068,2025-11-26T22:00:00-05:00,3,Final,PHX,SAC,PHX @ SAC,192,48,144,0.20833333333333334,0.18055555555555555,1.153846153846154,0.6114310955453319
2025-26,2026-03-23,0022500069,2025-11-28T19:30:00-05:00,3,Final,CLE,ATL,CLE @ ATL,212,54,158,0.12962962962962962,0.18354430379746836,0.706257982120051,-0.635949034858565
2025-26,2026-03-23,0022500070,2025-11-28T19:30:00-05:00,3,Final,PHI,BKN,PHI @ BKN,196,55,141,0.45454545454545453,0.1702127659574468,2.6704545454545454,4.838055686629879
2025-26,2026-03-23,0022500071,2025-11-28T19:30:00-05:00,3,Final,CHI,CHA,CHI @ CHA,213,62,151,0.16129032258064516,0.2052980132450331,0.785639958376691,-0.4147199985485514
2025-26,2026-03-23,0022500072,2025-11-28T19:30:00-05:00,3,Final,ORL,DET,ORL @ DET,207,78,129,0.32051282051282054,0.29457364341085274,1.0880566801619433,0.4280829030608511
2025-26,2026-03-23,0022500073,2025-11-28T19:30:00-05:00,3,Final,WAS,IND,WAS @ IND,200,51,149,0.19607843137254902,0.16778523489932887,1.168627450980392,0.6526249820498383
2025-26,2026-03-23,0022500074,2025-11-28T19:30:00-05:00,3,Final,MIL,NYK,MIL @ NYK,185,78,107,0.14102564102564102,0.37383177570093457,0.37724358974358974,-1.5528767858413433
2025-26,2026-03-23,0022500075,2025-11-28T21:30:00-05:00,3,Final,PHX,OKC,PHX @ OKC,211,75,136,0.2,0.27941176470588236,0.7157894736842105,-0.6093857922590251
2025-26,2026-03-23,0022500076,2025-11-28T21:30:00-05:00,3,Final,SAS,DEN,SAS @ DEN,201,74,127,0.33783783783783783,0.25984251968503935,1.3001638001638003,1.0192026504553762
