season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,error_message
2021-22,2021,Regular Season,0022100936,2022-03-02,MIA,MIL,MIA @ MIL,119,120,,No mobile play-by-play rows found for game_id 0022100936.
2021-22,2021,Regular Season,0022100937,2022-03-02,SAC,NOP,SAC @ NOP,95,125,,No mobile play-by-play rows found for game_id 0022100937.
2021-22,2021,Regular Season,0022100938,2022-03-02,OKC,DEN,OKC @ DEN,119,107,,No mobile play-by-play rows found for game_id 0022100938.
2021-22,2021,Regular Season,0022100939,2022-03-02,POR,PHX,POR @ PHX,90,120,,No mobile play-by-play rows found for game_id 0022100939.
2021-22,2021,Regular Season,0022100940,2022-03-03,MEM,BOS,MEM @ BOS,107,120,,No mobile play-by-play rows found for game_id 0022100940.
2021-22,2021,Regular Season,0022100710,2022-03-03,CHI,ATL,CHI @ ATL,124,130,,No mobile play-by-play rows found for game_id 0022100710.
2021-22,2021,Regular Season,0022100941,2022-03-03,MIA,BKN,MIA @ BKN,113,107,,No mobile play-by-play rows found for game_id 0022100941.
2021-22,2021,Regular Season,0022100943,2022-03-03,GSW,DAL,GSW @ DAL,113,122,,No mobile play-by-play rows found for game_id 0022100943.
2021-22,2021,Regular Season,0022100942,2022-03-03,DET,TOR,DET @ TOR,108,106,,No mobile play-by-play rows found for game_id 0022100942.
2021-22,2021,Regular Season,0022100944,2022-03-03,SAC,SAS,SAC @ SAS,115,112,,No mobile play-by-play rows found for game_id 0022100944.
2021-22,2021,Regular Season,0022100945,2022-03-03,LAL,LAC,LAL @ LAC,111,132,,No mobile play-by-play rows found for game_id 0022100945.
2021-22,2021,Regular Season,0022100946,2022-03-04,IND,DET,IND @ DET,106,111,,No mobile play-by-play rows found for game_id 0022100946.
2021-22,2021,Regular Season,0022100947,2022-03-04,CLE,PHI,CLE @ PHI,119,125,,No mobile play-by-play rows found for game_id 0022100947.
2021-22,2021,Regular Season,0022100948,2022-03-04,ATL,WAS,ATL @ WAS,117,114,,No mobile play-by-play rows found for game_id 0022100948.
2021-22,2021,Regular Season,0022100458,2022-03-04,ORL,TOR,ORL @ TOR,103,97,,No mobile play-by-play rows found for game_id 0022100458.
2021-22,2021,Regular Season,0022100950,2022-03-04,UTA,NOP,UTA @ NOP,90,124,,No mobile play-by-play rows found for game_id 0022100950.
2021-22,2021,Regular Season,0022100951,2022-03-04,MIN,OKC,MIN @ OKC,138,101,,No mobile play-by-play rows found for game_id 0022100951.
2021-22,2021,Regular Season,0022100952,2022-03-04,HOU,DEN,HOU @ DEN,101,116,,No mobile play-by-play rows found for game_id 0022100952.
2021-22,2021,Regular Season,0022100953,2022-03-04,NYK,PHX,NYK @ PHX,114,115,,No mobile play-by-play rows found for game_id 0022100953.
2021-22,2021,Regular Season,0022100954,2022-03-05,SAC,DAL,SAC @ DAL,113,114,,No mobile play-by-play rows found for game_id 0022100954.
2021-22,2021,Regular Season,0022100955,2022-03-05,SAS,CHA,SAS @ CHA,117,123,,No mobile play-by-play rows found for game_id 0022100955.
2021-22,2021,Regular Season,0022100949,2022-03-04,MIL,CHI,MIL @ CHI,118,112,,No mobile play-by-play rows found for game_id 0022100949.
2021-22,2021,Regular Season,0022100956,2022-03-05,PHI,MIA,PHI @ MIA,82,99,,No mobile play-by-play rows found for game_id 0022100956.
2021-22,2021,Regular Season,0022100957,2022-03-05,ORL,MEM,ORL @ MEM,96,124,,No mobile play-by-play rows found for game_id 0022100957.
2021-22,2021,Regular Season,0022100958,2022-03-05,POR,MIN,POR @ MIN,121,135,,No mobile play-by-play rows found for game_id 0022100958.
2021-22,2021,Regular Season,0022100959,2022-03-05,GSW,LAL,GSW @ LAL,116,124,,No mobile play-by-play rows found for game_id 0022100959.
2021-22,2021,Regular Season,0022100960,2022-03-06,BKN,BOS,BKN @ BOS,120,126,,No mobile play-by-play rows found for game_id 0022100960.
2021-22,2021,Regular Season,0022100961,2022-03-06,PHX,MIL,PHX @ MIL,122,132,,No mobile play-by-play rows found for game_id 0022100961.
2021-22,2021,Regular Season,0022100963,2022-03-06,IND,WAS,IND @ WAS,123,133,,No mobile play-by-play rows found for game_id 0022100963.
